workload,precision,algorithmic_macs,peak_macs_per_cycle,preload_cycles,body_cycles,cold_e2e_cycles,achieved_e2e_macs_per_cycle,effective_peak_fraction
64x64x64,INT16,262144,64,16493,49172,65665,3.9921,0.0624
64x64x64,INT8,262144,128,8301,47121,55422,4.7300,0.0370
64x64x64,INT4,262144,256,4205,46099,50304,5.2112,0.0204
96x64x96,INT16,589824,64,24685,110176,134861,4.3736,0.0683
96x64x96,INT8,589824,128,12397,105563,117960,5.0002,0.0391
96x64x96,INT4,589824,256,6253,103260,109513,5.3859,0.0210
128x128x128,INT16,2097152,64,65645,211915,277560,7.5557,0.1181
128x128x128,INT8,2097152,128,32877,195528,228405,9.1817,0.0717
128x128x128,INT4,2097152,256,16493,187338,203831,10.2887,0.0402
